440059,7407,7380,-1875.00,2041,-978.52,37.11,57.62,43.72,705.37,-330.33,-0.02,2.04,0.60
440126,7407,7380,-1875.00,2040,-979.25,39.55,59.81,38.25,688.92,-335.61,-0.14,1.98,0.63
440195,7407,7380,-1875.00,2041,-979.74,38.82,60.06,38.25,688.92,-335.61,-0.08,1.97,0.56
440261,7407,7380,-1875.00,2041,-980.96,39.79,60.30,21.86,683.44,-312.76,-0.20,1.91,0.66
440328,7407,7380,-1875.00,2041,-977.29,36.62,58.84,-1.82,740.09,-268.84,-0.08,1.94,0.58
440393,7407,7380,-1875.00,2041,-982.18,39.55,59.33,-1.82,740.09,-268.84,-0.06,2.00,0.66
440460,7407,7380,-1875.00,2041,-980.22,39.55,61.28,18.22,701.71,-323.31,-0.17,2.00,0.50
440525,7407,7380,-1875.00,2040,-979.74,38.33,63.72,18.22,701.71,-323.31,-0.15,1.97,0.61
440596,7407,7380,-1875.00,2041,-979.25,37.84,64.45,30.97,681.61,-325.06,-0.06,1.95,0.58
440662,7407,7380,-1875.00,2041,-980.71,39.31,60.55,30.97,681.61,-325.06,-0.11,2.08,0.50
440728,7407,7380,-1875.00,2041,-980.96,35.40,59.33,69.22,741.92,-288.16,-0.05,2.04,0.72
440794,7407,7380,-1875.00,2041,-981.45,37.11,57.13,69.22,741.92,-288.16,-0.09,1.95,0.55
440860,7407,7380,-1875.00,2041,-976.56,38.09,62.50,34.61,699.89,-318.03,-0.15,2.03,0.64
440929,7407,7380,-1875.00,2041,-979.00,35.89,58.35,34.61,699.89,-318.03,-0.02,2.06,0.58
440995,7407,7379,-1875.00,2041,-979.00,37.60,60.30,23.68,692.58,-314.52,0.00,1.98,0.53
441061,7405,7380,-1875.00,2041,-979.49,40.04,58.84,23.68,692.58,-314.52,-0.05,2.04,0.46
441127,7405,7380,-1875.00,2041,-978.76,33.94,60.06,20.04,707.20,-314.52,-0.14,1.97,0.58
441193,7407,7380,-1875.00,2041,-981.20,37.11,55.91,20.04,707.20,-314.52,-0.15,2.01,0.53
441260,7407,7380,-1875.00,2041,-979.98,39.06,60.79,21.86,679.79,-326.82,-0.12,2.03,0.49
441336,7407,7380,-1875.00,2041,-979.74,37.60,60.79,21.86,679.79,-326.82,0.02,2.00,0.63
441404,7407,7380,-1875.00,2041,-978.76,39.06,59.57,18.22,727.30,-312.76,-0.15,1.98,0.67
441468,7407,7380,-1875.00,2041,-981.20,34.67,54.69,18.22,727.30,-312.76,-0.08,1.95,0.55
441535,7407,7380,-1875.00,2041,-979.98,34.67,58.84,27.32,677.96,-321.55,-0.08,1.98,0.56
441602,7407,7380,-1875.00,2041,-978.76,39.06,60.79,25.50,687.10,-305.73,-0.11,2.00,0.46
441667,7407,7380,-1875.00,2041,-977.29,31.25,58.59,25.50,687.10,-305.73,-0.08,1.98,0.49
441737,7407,7380,-1875.00,2041,-979.25,36.62,60.79,16.39,732.78,-272.35,-0.06,1.98,0.61
441802,7407,7380,-1875.00,2041,-980.47,36.87,62.26,16.39,732.78,-272.35,-0.08,2.00,0.60
441869,7407,7380,-1875.00,2041,-975.83,31.49,61.52,41.90,696.23,-335.61,-0.18,1.88,0.61
441934,7407,7380,-1875.00,2041,-980.47,37.84,59.81,41.90,696.23,-335.61,-0.12,1.95,0.61
442001,7407,7380,-1875.00,2041,-980.47,34.91,60.06,30.97,703.54,-318.03,-0.02,2.00,0.63
442066,7407,7380,-1875.00,2041,-977.29,32.47,58.35,30.97,703.54,-318.03,-0.23,2.01,0.58
442137,7407,7380,-1875.00,2041,-979.98,37.60,58.84,52.82,721.82,-300.46,-0.03,2.00,0.63
442203,7407,7380,-1875.00,2043,-979.25,38.82,58.35,52.82,721.82,-300.46,-0.09,1.97,0.50
442269,7407,7380,-1875.00,2041,-977.78,31.98,57.86,12.75,692.58,-325.06,-0.15,1.98,0.60
442335,7407,7380,-1875.00,2041,-980.22,35.40,60.55,12.75,692.58,-325.06,-0.12,2.03,0.55
442401,7407,7379,-1875.00,2041,-978.52,41.02,58.59,38.25,714.51,-321.55,-0.03,1.95,0.58
442467,7407,7380,-1875.00,2041,-979.00,34.18,55.66,38.25,714.51,-321.55,-0.17,1.97,0.55
442537,7407,7380,-1875.00,2041,-981.93,36.38,59.57,32.79,701.71,-316.28,-0.08,2.06,0.60
442603,7407,7380,-1875.00,2041,-979.00,39.55,57.86,32.79,701.71,-316.28,-0.18,2.00,0.55
442670,7407,7380,-1875.00,2041,-980.71,32.96,59.81,36.43,694.40,-323.31,-0.17,1.97,0.66
442735,7407,7380,-1875.00,2041,-980.71,35.64,58.35,36.43,694.40,-323.31,-0.02,2.12,0.49
442802,7407,7380,-1875.00,2041,-982.67,38.33,60.55,16.39,718.16,-318.03,-0.12,1.95,0.53
442871,7407,7380,-1875.00,2041,-977.29,37.35,55.66,27.32,696.23,-314.52,-0.12,2.01,0.61
442937,7407,7377,-1875.00,2041,-980.47,36.38,59.81,27.32,696.23,-314.52,-0.08,1.95,0.49
443003,7407,7380,-1875.00,2041,-977.78,34.42,63.72,21.86,701.71,-323.31,-0.12,1.98,0.60
