0.193,0.0068,0.0068
0.194,0.0058,0.0058
0.195,0.0044,0.0044
0.196,0.0024,0.0024
0.197,0.0004,0.0004
0.198,-0.0014,-0.0014
0.199,-0.0036,-0.0036
0.2,-0.0054,-0.0054
0.201,-0.007,-0.007
0.202,-0.0076,-0.0076
0.203,-0.0076,-0.0076
0.204,-0.0068,-0.0068
0.205,-0.0062,-0.0062
0.206,-0.005,-0.005
0.207,-0.0032,-0.0032
0.208,-0.0012,-0.0012
0.209,0.0008,0.0008
0.21,0.0028,0.0028
0.211,0.0046,0.0046
0.212,0.0062,0.0062
0.213,0.0066,0.0066
0.214,0.0072,0.0072
0.215,0.007,0.007
0.216,0.0064,0.0064
0.217,0.0052,0.0052
0.218,0.0036,0.0036
0.219,0.0014,0.0014
0.22,-0.0002,-0.0002
0.221,-0.0024,-0.0024
0.222,-0.004,-0.004
0.223,-0.0058,-0.0058
0.224,-0.007,-0.007
0.225,-0.0074,-0.0074
0.226,-0.0074,-0.0074
0.227,-0.0066,-0.0066
0.228,-0.0058,-0.0058
0.229,-0.0044,-0.0044
0.23,-0.0026,-0.0026
0.231,-0.0002,-0.0002
0.232,0.0018,0.0018
0.233,0.0034,0.0034
0.234,0.0052,0.0052
0.235,0.0064,0.0064
0.236,0.007,0.007
0.237,0.0074,0.0074
0.238,0.0068,0.0068
0.239,0.006,0.006
0.24,0.0046,0.0046
0.241,0.0028,0.0028
0.242,0.001,0.001
0.243,-0.0006,-0.0006
0.244,-0.0028,-0.0028
0.245,-0.005,-0.005
0.246,-0.0064,-0.0064
0.247,-0.0072,-0.0072
0.248,-0.0072,-0.0072
0.249,-0.0074,-0.0074
0.25,-0.0064,-0.0064
0.251,-0.0054,-0.0054
0.252,-0.0038,-0.0038
0.253,-0.0018,-0.0018
0.254,0,0
0.255,0.002,0.002
0.256,0.0042,0.0042
0.257,0.0058,0.0058
0.258,0.0064,0.0064
0.259,0.0072,0.0072
0.26,0.007,0.007
0.261,0.0068,0.0068
0.262,0.0052,0.0052
0.263,0.0042,0.0042
0.264,0.0024,0.0024
0.265,0.0004,0.0004
0.266,-0.0016,-0.0016
0.267,-0.0038,-0.0038
0.268,-0.0052,-0.0052
0.269,-0.0066,-0.0066
0.27,-0.0076,-0.0076
0.271,-0.0074,-0.0074
0.272,-0.007,-0.007
0.273,-0.0064,-0.0064
0.274,-0.0048,-0.0048
0.275,-0.0028,-0.0028
0.276,-0.0012,-0.0012
0.277,0.0008,0.0008
0.278,0.003,0.003
0.279,0.0046,0.0046
0.28,0.0062,0.0062
0.281,0.0068,0.0068
0.282,0.007,0.007
0.283,0.0072,0.0072
0.284,0.0062,0.0062
0.285,0.0052,0.0052
0.286,0.0034,0.0034
0.287,0.0014,0.0014
0.288,-0.0006,-0.0006
0.289,-0.0022,-0.0022
0.29,-0.0042,-0.0042
0.291,-0.0056,-0.0056
0.292,-0.0066,-0.0066
0.293,-0.0072,-0.0072
0.294,-0.0072,-0.0072
0.295,-0.007,-0.007
0.296,-0.0054,-0.0054
0.297,-0.004,-0.004
0.298,-0.0026,-0.0026
0.299,-0.0002,-0.0002
0.3,0.0018,0.0018
0.301,0.0032,0.0032
0.302,0.0046,0.0046
0.303,0.006,0.006
0.304,0.0068,0.0068
0.305,0.007,0.007
0.306,0.0064,0.0064
0.307,0.0058,0.0058
0.308,0.0044,0.0044
0.309,0.0026,0.0026
0.31,0.0006,0.0006
0.311,-0.0012,-0.0012
0.312,-0.0028,-0.0028
0.313,-0.0048,-0.0048
0.314,-0.006,-0.006
0.315,-0.0068,-0.0068
0.316,-0.007,-0.007
0.317,-0.007,-0.007
0.318,-0.0062,-0.0062
0.319,-0.0048,-0.0048
0.32,-0.0032,-0.0032
0.321,-0.0014,-0.0014
0.322,0.0006,0.0006
0.323,0.0024,0.0024
0.324,0.0042,0.0042
0.325,0.0056,0.0056
0.326,0.0066,0.0066
0.327,0.007,0.007
0.328,0.007,0.007
0.329,0.0062,0.0062
0.33,0.0052,0.0052
0.331,0.0038,0.0038
0.332,0.002,0.002
0.333,0,0
0.334,-0.0018,-0.0018
0.335,-0.0038,-0.0038
0.336,-0.0052,-0.0052
0.337,-0.0066,-0.0066
0.338,-0.007,-0.007
0.339,-0.007,-0.007
0.34,-0.0068,-0.0068
0.341,-0.006,-0.006
0.342,-0.0042,-0.0042
0.343,-0.0024,-0.0024
0.344,-0.0002,-0.0002
0.345,0.0014,0.0014
0.346,0.0032,0.0032
0.347,0.0048,0.0048
0.348,0.0062,0.0062
0.349,0.0068,0.0068
0.35,0.007,0.007
0.351,0.007,0.007
0.352,0.0062,0.0062
0.353,0.0048,0.0048
0.354,0.003,0.003
0.355,0.001,0.001
0.356,-0.0006,-0.0006
0.357,-0.0024,-0.0024
0.358,-0.0044,-0.0044
0.359,-0.0056,-0.0056
0.36,-0.0068,-0.0068
0.361,-0.0076,-0.0076
0.362,-0.0072,-0.0072
0.363,-0.0066,-0.0066
0.364,-0.0054,-0.0054
0.365,-0.0038,-0.0038
