7.8,0.0034,0.0034,6749,6749,638,82.13
7.85,0.0018,0.0018,6784,6784,636,82.13
7.9,-0.0006,-0.0006,6817,6817,632,82.15
7.95,-0.0022,-0.0022,6844,6844,628,82.13
8,-0.004,-0.004,6876,6876,623,82.15
8.05,-0.006,-0.006,6907,6907,620,82.15
8.1,-0.0068,-0.0068,6938,6938,618,82.13
8.15,-0.0078,-0.0078,6970,6970,615,82.13
8.2,-0.0076,-0.0076,7000,7000,612,82.13
8.25,-0.007,-0.007,7031,7031,609,82.13
8.3,-0.0062,-0.0062,7058,7058,605,82.13
8.35,-0.0046,-0.0046,7092,7092,601,82.13
8.4,-0.0022,-0.0022,7121,7121,598,82.13
8.45,-0.0002,-0.0002,7150,7150,595,82.13
8.5,0.0018,0.0018,7179,7179,593,82.13
8.55,0.0036,0.0036,7209,7209,591,82.13
8.6,0.0052,0.0052,7238,7238,588,82.13
8.65,0.0068,0.0068,7269,7269,584,82.13
8.7,0.0074,0.0074,7298,7298,580,82.13
8.75,0.0076,0.0076,7326,7326,575,82.13
8.8,0.007,0.007,7354,7354,570,82.13
8.85,0.006,0.006,7382,7382,566,82.13
8.9,0.0048,0.0048,7410,7410,564,82.15
8.95,0.003,0.003,7440,7440,561,82.13
9,0.0008,0.0008,7467,7467,559,82.13
9.05,-0.0008,-0.0008,7493,7493,557,82.13
9.1,-0.0028,-0.0028,7522,7522,553,82.13
9.15,-0.0048,-0.0048,7551,7551,551,82.13
9.2,-0.0064,-0.0064,7577,7577,548,82.13
9.25,-0.0072,-0.0072,7604,7604,544,82.13
9.3,-0.0078,-0.0078,7631,7631,541,82.13
9.35,-0.0076,-0.0076,7659,7659,537,82.13
9.4,-0.0066,-0.0066,7685,7685,533,82.13
9.45,-0.0052,-0.0052,7711,7711,530,82.13
9.5,-0.0036,-0.0036,7738,7738,526,82.11
9.55,-0.0016,-0.0016,7763,7763,524,82.11
9.6,0.0004,0.0004,7790,7790,522,82.13
9.65,0.0024,0.0024,7817,7817,521,82.13
9.7,0.0042,0.0042,7840,7840,521,82.13
9.75,0.006,0.006,7868,7868,520,82.13
9.8,0.007,0.007,7894,7894,516,82.13
9.85,0.0074,0.0074,7921,7921,512,82.11
9.9,0.0076,0.0076,7945,7945,505,82.13
9.95,0.0068,0.0068,7971,7971,498,82.11
10,0.0056,0.0056,7995,7995,494,82.13
10.05,0.0042,0.0042,8015,8015,493,82.13
10.1,0.0018,0.0018,8044,8044,493,82.13
10.15,0.0002,0.0002,8067,8067,493,82.13
10.2,-0.002,-0.002,8095,8095,491,82.11
10.25,-0.0038,-0.0038,8118,8118,485,82.13
10.3,-0.0058,-0.0058,8142,8142,479,82.11
10.35,-0.007,-0.007,8165,8165,473,82.13
10.4,-0.008,-0.008,8186,8186,470,82.11
10.45,-0.008,-0.008,8211,8211,470,82.13
10.5,-0.0076,-0.0076,8234,8234,471,82.13
10.55,-0.0064,-0.0064,8260,8260,472,82.13
10.6,-0.005,-0.005,8282,8282,471,82.13
10.65,-0.0028,-0.0028,8306,8306,469,82.13
10.7,-0.0008,-0.0008,8330,8330,466,82.13
10.75,0.001,0.001,8351,8351,463,82.13
10.8,0.0036,0.0036,8375,8375,461,82.13
10.85,0.0048,0.0048,8398,8398,458,82.13
10.9,0.0064,0.0064,8422,8422,455,82.11
10.95,0.0074,0.0074,8444,8444,450,82.11
11,0.0074,0.0074,8466,8466,445,82.13
11.05,0.007,0.007,8487,8487,441,82.13
11.1,0.0066,0.0066,8510,8510,439,82.11
11.15,0.0052,0.0052,8530,8530,439,82.13
11.2,0.0034,0.0034,8553,8553,440,82.13
11.25,0.0012,0.0012,8575,8575,441,82.13
11.3,-0.0006,-0.0006,8598,8598,440,82.13
11.35,-0.0028,-0.0028,8620,8620,436,82.13
11.4,-0.0048,-0.0048,8642,8642,433,82.11
11.45,-0.006,-0.006,8662,8662,428,82.13
11.5,-0.007,-0.007,8684,8684,425,82.11
11.55,-0.0076,-0.0076,8703,8703,424,82.13
11.6,-0.0076,-0.0076,8725,8725,421,82.13
11.65,-0.0068,-0.0068,8750,8750,418,82.11
11.7,-0.0054,-0.0054,8767,8767,415,82.13
11.75,-0.0046,-0.0046,8788,8788,410,82.13
11.8,-0.0018,-0.0018,8809,8809,405,82.11
11.85,0,0,8828,8828,403,82.13
11.9,0.002,0.002,8848,8848,402,82.13
11.95,0.0042,0.0042,8867,8867,401,82.13
12,0.0056,0.0056,8889,8889,401,82.13
12.05,0.0066,0.0066,8909,8909,400,82.13
